group_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,group_name,gemeente,lat,long,member_site_count,member_site_ids,historical_risk_rank
47,33,10.0,0.30303030303030304,735152.0,22277.333333333332,0.2727272727272727,0.1360262911615557,0.1380589278136873,Herk De Stad,Herk-de-Stad,50.9437,5.177205000000001,2,"30,31",55
5,32,8.0,0.25,600156.0,18754.875,0.21875,0.13329867567765713,0.1358466036815654,As,As,51.00509,5.60389,1,48,56
71,41,5.0,0.12195121951219512,382458.0,9328.243902439024,0.12195121951219512,0.13073330927840443,0.1347756567240738,Grimbergen,Meise,50.92127,4.34013,1,27,57
40,21,32.0,1.5238095238095237,2393731.0,113987.19047619047,0.7619047619047619,0.13368252322420524,0.13433131341514618,Hasselt-Kempische brug,Hasselt,50.94084615,5.3420024,2,"137,138",58
75,31,20.0,0.6451612903225806,1666282.0,53751.032258064515,0.3548387096774194,0.12002770239371247,0.12108498937997852,Nieuwpoort totem,Nieuwpoort,51.134995,2.74329,2,"63,66",59
20,28,2.0,0.07142857142857142,190038.0,6787.071428571428,0.07142857142857142,0.10524210947284228,0.11501576025890124,Deinze teller 2,Deinze,50.96018,3.55578,1,113,60
60,30,6.0,0.2,545628.0,18187.6,0.16666666666666666,0.1099650311201038,0.11341533311729642,Lier teller 1,Lier,51.11696,4.584405,2,"95,96",61
8,65,6.0,0.09230769230769231,599610.0,9224.76923076923,0.09230769230769231,0.10006504227748036,0.1034661540720812,Balen 1,Balen,51.160205,5.19007,2,"4,5",62
9,30,1.0,0.03333333333333333,119183.0,3972.766666666667,0.03333333333333333,0.08390458370740794,0.10130172423628693,Beersel teller 1,Beersel,50.751515,4.3332,2,"82,83",63
88,31,8.0,0.25806451612903225,919074.0,29647.548387096773,0.22580645161290322,0.0870441335518141,0.08950242650184559,Wervik teller 2,Wervik,50.805675,3.09182,2,"61,62",64
46,30,9.0,0.3,1033347.0,34444.9,0.26666666666666666,0.08709562228370528,0.0892853736637111,Herentals totem,Herentals,51.1736963,4.8123065,2,"94,110",65
76,31,23.0,0.7419354838709677,2674925.0,86287.90322580645,0.3870967741935484,0.08598371916969634,0.08684401954996536,Nieuwpoort teller 1,Nieuwpoort,51.13397,2.75624,2,"64,65",66
89,28,7.0,0.25,845735.0,30204.821428571428,0.21428571428571427,0.08276824300756147,0.0855140139208887,Geel totem,Westerlo,51.1348979,4.9397605,2,"112,127",67
23,23,4.0,0.17391304347826086,494944.0,21519.304347826088,0.13043478260869565,0.08081722376672916,0.08550920964699496,Retie,Dessel,51.25467015,5.1038861,2,"134,135",68
90,30,8.0,0.26666666666666666,976648.0,32554.933333333334,0.2,0.08191282836805072,0.0843099719133743,Westerlo teller 1,Westerlo,51.081955,4.913295,2,"88,89",69
79,33,3.0,0.09090909090909091,386971.0,11726.39393939394,0.09090909090909091,0.07752518922606604,0.08360391373491305,Peer teller 1,Peer,51.134315,5.478545,2,"39,40",70
12,65,21.0,0.3230769230769231,2593080.0,39893.53846153846,0.27692307692307694,0.08098477486232589,0.08190225578254835,Brasschaat 2,Brasschaat,51.275075,4.471955,2,"2,3",71
68,65,6.0,0.09230769230769231,763658.0,11748.584615384616,0.09230769230769231,0.07856920244402599,0.08168900400393157,Machelen,Machelen,50.91618331151478,4.456121776137429,1,1,72
15,65,7.0,0.1076923076923077,1129731.0,17380.476923076923,0.1076923076923077,0.06196165281823726,0.0643128672492314,Brugge,Brugge,51.17416,3.20048,1,20,73
3,30,4.0,0.13333333333333333,666166.0,22205.533333333333,0.13333333333333333,0.060045093865492984,0.0640389272771964,Aarschot,Aarschot,50.99084,4.81259,1,87,74
19,32,6.0,0.1875,1056446.0,33013.9375,0.1875,0.056794194876027736,0.05938205055271332,"Brugge, Sint-Andries",Brugge,51.19286,3.16252,2,"50,51",75
66,33,5.0,0.15151515151515152,892412.0,27042.78787878788,0.12121212121212122,0.05602793328641928,0.05909650347371888,Maaseik teller 1,Maaseik,51.093515,5.797205,2,"43,44",76
57,30,5.0,0.16666666666666666,911731.0,30391.033333333333,0.16666666666666666,0.0548407370156329,0.05786555861884892,Heverlee teller 2,Leuven,50.8466164,4.6957187000000005,2,"76,108",77
94,29,7.0,0.2413793103448276,1263621.0,43573.137931034486,0.13793103448275862,0.05539635697728987,0.05758236498445753,Zemst,Zemst,50.9903936,4.4707023,1,109,78
81,30,1.0,0.03333333333333333,239630.0,7987.666666666667,0.03333333333333333,0.041731001961357095,0.05352506937232394,Pepingen teller 1,Pepingen,50.75836,4.165285,2,"78,79",79
91,41,3.0,0.07317073170731707,659859.0,16094.121951219513,0.07317073170731707,0.0454642582733584,0.049835414202941505,Zaventem,Zaventem,50.86995,4.45444,1,26,80
69,29,1.0,0.034482758620689655,302665.0,10436.724137931034,0.034482758620689655,0.03303982951447971,0.04292918295816018,Malle teller 1,Malle,51.316815,4.73862,2,"103,104",81
13,30,1.0,0.03333333333333333,325993.0,10866.433333333332,0.03333333333333333,0.03067550530226109,0.039998810140542684,Brecht teller 1,Brecht,51.357455,4.62426,2,"90,91",82
45,30,3.0,0.1,980632.0,32687.733333333334,0.1,0.03059251584692321,0.033791608657190095,Herent teller 1,Herent,50.891315000000006,4.64687,2,"72,73",83
84,33,0.0,0.0,118239.0,3583.0,0.0,0.0,0.027385748473602162,Tongeren,Tongeren,50.79286,5.52825,1,29,84
42,33,0.0,0.0,133246.0,4037.757575757576,0.0,0.0,0.024627544373366277,Heers,Heers,50.75487,5.30322,2,"28,34",85
77,30,1.0,0.03333333333333333,551648.0,18388.266666666666,0.03333333333333333,0.01812750159522014,0.024091394080267888,Nijlen teller 1,Nijlen,51.149935,4.6447400000000005,2,"92,93",86
56,33,0.0,0.0,627011.0,19000.333333333332,0.0,0.0,0.005708994653926418,Lanaken teller 1,Lanaken,50.881215,5.63076,2,"35,36",87
